SK_ID_CURR,CODE_GENDER,age,DAYS_BIRTH,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,AMT_CREDIT,A,B,C,D
154135,0,1,17711,1,256500,4,270000.0,,1.0,,
184253,0,1,21364,1,135000,4,830709.0,,1.0,,
221244,1,1,22058,0,135000,4,526491.0,1.0,,,
404208,1,1,19375,1,144000,4,781920.0,1.0,,,
300021,0,1,14379,1,112500,4,675000.0,,1.0,,
137068,0,1,17241,1,202500,4,640080.0,,1.0,,
120568,0,1,12791,1,85500,4,599472.0,,1.0,,
343282,0,1,15437,1,112500,4,314100.0,,1.0,,
313533,0,1,16945,1,103500,4,202500.0,,1.0,,
312829,0,1,15378,1,225000,1,1260000.0,,1.0,,
319273,0,1,20565,1,225000,1,418500.0,,1.0,,
426301,0,1,20148,1,135000,4,50940.0,,1.0,,
251978,0,1,14437,1,675000,1,1687500.0,,1.0,,
279724,0,1,19473,0,90000,4,472500.0,,1.0,,
232841,1,1,16364,1,225000,4,765000.0,1.0,,,
376972,0,1,12402,1,144000,4,640080.0,,1.0,,
255126,0,1,10924,0,157500,2,755190.0,,1.0,,
382715,0,1,16237,1,180000,4,790830.0,,1.0,,
406980,0,1,10665,0,90000,4,98910.0,,1.0,,
220050,0,1,18772,1,270000,4,728460.0,,1.0,,
354660,1,1,17156,1,189000,4,270000.0,1.0,,,
254561,1,1,10880,1,315000,4,283500.0,1.0,,,
304023,0,1,23445,0,157500,4,1309500.0,,1.0,,
101969,0,1,13768,1,121500,4,448056.0,,1.0,,
229549,0,1,9888,0,36000,4,808650.0,,1.0,,
417047,1,1,16941,1,157500,4,1175314.5,1.0,,,
365469,1,1,20692,0,135000,4,900000.0,1.0,,,
380050,1,1,13982,1,292500,4,942300.0,1.0,,,
144146,0,1,22134,0,157500,4,225000.0,,1.0,,
312478,1,1,17301,1,135000,4,1566747.0,1.0,,,
125958,0,1,16108,0,144000,1,1350000.0,,1.0,,
411869,0,1,13584,0,135000,4,450000.0,,1.0,,
239285,1,1,19196,1,157500,4,450000.0,1.0,,,
351164,0,1,13791,0,171000,4,276408.0,,1.0,,
413350,0,1,13812,1,162000,4,521280.0,,1.0,,
399606,0,1,13358,1,166500,4,1092519.0,,1.0,,
299071,1,1,13020,0,270000,1,1575000.0,1.0,,,
254225,0,1,11351,1,157500,4,180000.0,,1.0,,
354605,0,1,16191,1,112500,4,855000.0,,1.0,,
411874,0,1,12872,0,382500,1,1540305.0,,1.0,,
136587,0,1,15933,1,90000,4,603000.0,,1.0,,
154278,0,1,15503,1,67500,4,333337.5,,1.0,,
108984,0,1,15909,1,67500,4,126000.0,,1.0,,
299628,0,1,20870,1,81000,4,270000.0,,1.0,,
178110,0,1,22526,0,90000,4,1125000.0,,1.0,,
104335,0,1,14545,0,160200,1,1724220.0,,1.0,,
288453,0,1,12055,1,112500,1,891000.0,,1.0,,
253400,1,1,20565,1,144000,4,152820.0,1.0,,,
256981,0,1,11110,1,108000,2,495000.0,,1.0,,
399731,1,1,10615,0,157500,1,497520.0,1.0,,,
334024,0,1,18001,1,166500,4,269550.0,,1.0,,
447593,0,0,8198,1,135000,4,1152000.0,,,,1.0
256320,0,1,16000,1,135000,4,180000.0,,1.0,,
133012,0,0,8722,1,135000,4,431280.0,,,,1.0
159357,0,1,9971,1,180000,1,225000.0,,1.0,,
269903,0,1,20983,0,180000,1,675000.0,,1.0,,
165261,1,1,14547,1,270000,4,275040.0,1.0,,,
390709,0,1,15205,1,135000,1,917172.0,,1.0,,
405237,0,1,17822,0,67500,4,508500.0,,1.0,,
313714,0,1,20691,0,112500,2,528633.0,,1.0,,
208786,0,1,17448,0,45000,4,450000.0,,1.0,,
368997,0,1,9430,1,135000,4,270000.0,,1.0,,
176581,0,1,12283,1,270000,4,1138068.0,,1.0,,
157056,0,1,22482,1,247500,4,848745.0,,1.0,,
212217,0,1,11643,1,90000,4,545040.0,,1.0,,
168086,1,1,11483,1,94500,4,1078200.0,1.0,,,
158569,0,1,13116,1,135000,4,805536.0,,1.0,,
134837,0,1,13480,0,202500,4,490500.0,,1.0,,
452056,1,1,12782,0,360000,4,941580.0,1.0,,,
231438,0,0,7734,1,63000,2,254700.0,,,,1.0
154914,0,1,19333,1,112500,4,545040.0,,1.0,,
127221,0,1,21656,0,157500,4,545040.0,,1.0,,
400512,0,1,15723,1,292500,4,697500.0,,1.0,,
432620,0,1,23252,1,135000,4,755190.0,,1.0,,
383537,0,1,15077,1,180000,4,630000.0,,1.0,,
139342,0,1,21089,1,135000,4,675000.0,,1.0,,
436381,0,1,16661,1,180000,1,711000.0,,1.0,,
280836,1,1,12836,0,450000,2,835380.0,1.0,,,
347939,0,1,16464,1,405000,4,1155226.5,,1.0,,
216170,0,1,13944,1,112500,4,113760.0,,1.0,,
408734,0,1,20661,0,225000,1,2517300.0,,1.0,,
177834,0,1,16661,1,117000,4,180000.0,,1.0,,
292343,0,1,17839,1,112500,4,463500.0,,1.0,,
126868,0,1,12936,0,157500,4,592560.0,,1.0,,
130610,0,1,9432,1,225000,4,135000.0,,1.0,,
104920,0,1,13408,0,67500,4,180000.0,,1.0,,
359441,0,1,11463,0,225000,1,585000.0,,1.0,,
157648,0,1,17684,1,90000,4,904500.0,,1.0,,
339109,0,1,22409,1,58500,4,58500.0,,1.0,,
130602,0,1,19195,1,90000,4,270000.0,,1.0,,
161848,0,1,18940,0,351000,1,1006920.0,,1.0,,
142834,0,1,12362,1,135000,4,521280.0,,1.0,,
381874,0,1,21630,1,216000,4,875749.5,,1.0,,
165063,1,1,11576,0,135000,1,681444.0,1.0,,,
248638,1,1,11413,1,337500,4,1520253.0,1.0,,,
364964,1,1,19699,0,144000,4,247500.0,1.0,,,
397538,0,1,16029,0,112500,4,1284732.0,,1.0,,
380774,1,1,19645,1,135000,4,539100.0,1.0,,,
235427,1,1,20856,1,279000,1,1288350.0,1.0,,,
236276,0,1,10570,1,135000,4,288873.0,,1.0,,
303269,1,1,16089,1,225000,1,1230565.5,1.0,,,
281026,0,1,22846,1,180000,4,1078200.0,,1.0,,
404091,0,1,18195,0,180000,4,1006920.0,,1.0,,
311666,0,1,12738,1,180000,1,1063719.0,,1.0,,
132409,1,1,23191,1,45000,4,135000.0,1.0,,,
261466,0,1,10110,1,112500,1,379237.5,,1.0,,
231806,1,1,13077,0,162000,2,225000.0,1.0,,,
382714,0,1,14780,0,202500,1,1546020.0,,1.0,,
170747,0,1,21546,1,144000,3,940500.0,,1.0,,
222038,0,1,21884,1,90000,3,808650.0,,1.0,,
250307,0,1,10010,0,112500,4,288873.0,,1.0,,
209520,1,1,21956,0,103500,4,348264.0,1.0,,,
256552,0,1,12052,0,202500,1,298512.0,,1.0,,
399847,0,1,12560,0,225000,1,269550.0,,1.0,,
257268,1,1,9206,1,112500,4,101880.0,1.0,,,
289308,0,1,20574,0,67500,4,472500.0,,1.0,,
250289,0,1,14418,1,157500,1,1125000.0,,1.0,,
228485,1,1,9992,1,225000,1,450000.0,1.0,,,
454787,0,1,23495,1,90000,1,755190.0,,1.0,,
153999,0,1,17974,1,225000,4,835380.0,,1.0,,
401138,0,1,20801,1,135000,4,808650.0,,1.0,,
411337,1,1,12075,0,112500,4,450000.0,1.0,,,
343911,0,1,17937,1,234000,1,657166.5,,1.0,,
442017,1,1,9672,1,54000,4,180000.0,1.0,,,
317832,0,1,11193,0,90000,4,441000.0,,1.0,,
313946,0,1,22763,0,162000,4,348826.5,,1.0,,
175941,1,1,13917,1,112500,1,152820.0,1.0,,,
138832,1,1,13538,0,270000,4,900000.0,1.0,,,
348454,0,1,21385,0,108000,4,370629.0,,1.0,,
394607,0,1,21259,1,157500,4,1078200.0,,1.0,,
137966,1,1,11435,1,225000,4,270000.0,1.0,,,
127329,0,1,17199,1,157500,4,127350.0,,1.0,,
150142,1,1,19602,0,90000,4,283500.0,1.0,,,
422971,0,1,18641,1,121500,4,225000.0,,1.0,,
121745,1,1,13037,1,135000,4,913347.0,1.0,,,
305318,0,1,13738,1,90000,4,247500.0,,1.0,,
234553,0,1,15534,1,90000,4,1125000.0,,1.0,,
324609,0,0,8434,1,157500,1,924394.5,,,,1.0
337231,0,0,8965,1,208098,1,640080.0,,,,1.0
367350,0,1,23451,0,135000,4,634482.0,,1.0,,
414934,0,1,14101,1,135000,4,314100.0,,1.0,,
266523,1,1,14661,1,135000,4,278613.0,1.0,,,
347250,0,1,16581,1,328500,4,1535553.0,,1.0,,
199551,1,1,9703,1,135000,4,231813.0,1.0,,,
202533,0,1,19645,0,54000,4,450000.0,,1.0,,
297510,1,1,16755,1,270000,4,889515.0,1.0,,,
269437,0,0,8829,0,157500,1,180000.0,,,,1.0
245671,1,1,9684,1,180000,4,337761.0,1.0,,,
307289,0,1,17941,1,126000,4,450000.0,,1.0,,
183908,1,1,23402,1,180000,4,675000.0,1.0,,,
412174,1,1,9340,0,225000,1,915178.5,1.0,,,
118182,0,1,19733,1,225000,1,781920.0,,1.0,,
268253,1,1,20469,1,270000,1,1762110.0,1.0,,,
433362,1,1,15830,0,268200,4,348264.0,1.0,,,
270481,1,1,10643,0,85500,4,659610.0,1.0,,,
316773,1,1,14527,1,135000,4,531265.5,1.0,,,
403228,0,1,18856,1,126000,1,906615.0,,1.0,,
147701,0,1,21375,0,90000,4,113760.0,,1.0,,
275618,0,1,19377,1,292500,4,1893996.0,,1.0,,
377036,0,1,16872,1,405000,4,970380.0,,1.0,,
148593,0,1,20405,1,67500,4,182016.0,,1.0,,
230123,1,1,11432,0,135000,4,544491.0,1.0,,,
113299,0,0,8428,1,81000,4,351000.0,,,,1.0
231643,1,1,18935,1,171000,1,1350000.0,1.0,,,
432287,0,1,16364,1,112500,4,675000.0,,1.0,,
124750,0,1,18086,1,157500,1,900000.0,,1.0,,
433233,1,1,17310,0,90000,4,1075932.0,1.0,,,
401013,0,1,11799,1,203400,1,1006920.0,,1.0,,
123829,1,1,16045,0,270000,4,549882.0,1.0,,,
184745,0,1,19281,1,139500,4,1288350.0,,1.0,,
371142,0,1,20716,1,270000,1,1298655.0,,1.0,,
172743,0,1,24266,0,180000,4,284400.0,,1.0,,
306504,1,1,10393,0,157500,4,337923.0,1.0,,,
211182,0,1,20921,1,67500,4,254700.0,,1.0,,
164603,1,1,11333,0,315000,4,270000.0,1.0,,,
154536,0,1,12005,0,225000,1,900000.0,,1.0,,
449963,0,1,11122,1,112500,1,270000.0,,1.0,,
179402,0,1,16234,0,202500,1,1288350.0,,1.0,,
258021,0,1,14267,0,225000,4,1260000.0,,1.0,,
104725,0,1,16055,1,81000,4,180000.0,,1.0,,
138897,0,1,23881,0,180000,4,284400.0,,1.0,,
272218,1,1,20839,1,360000,4,1324422.0,1.0,,,
420827,0,1,20311,1,180000,4,540000.0,,1.0,,
385067,0,0,9085,1,112500,1,202500.0,,,,1.0
378764,0,1,15514,1,216000,4,1113840.0,,1.0,,
337126,0,1,20142,1,54000,4,1223010.0,,1.0,,
200949,0,1,14431,1,112500,4,270000.0,,1.0,,
252804,0,1,23599,0,117000,4,172512.0,,1.0,,
145540,0,1,19312,1,225000,4,450000.0,,1.0,,
319094,0,1,10679,1,112500,4,231813.0,,1.0,,
161451,0,1,21808,0,258750,4,904500.0,,1.0,,
347548,0,1,13466,0,126000,4,781920.0,,1.0,,
124200,0,1,13972,1,180000,4,1006920.0,,1.0,,
395994,0,1,22380,0,67500,4,202500.0,,1.0,,
352433,0,1,17369,1,180000,1,1256400.0,,1.0,,
441657,0,1,17022,1,157500,4,495000.0,,1.0,,
442961,0,1,21359,1,153000,4,281938.5,,1.0,,
439394,0,1,17419,1,243000,1,497520.0,,1.0,,
224744,0,1,19473,1,112500,4,193392.0,,1.0,,
326580,0,1,19294,1,157500,4,440784.0,,1.0,,
136378,1,1,19189,0,72000,4,265536.0,1.0,,,
297958,0,1,17322,1,225000,1,1241968.5,,1.0,,
136410,1,0,8083,1,90000,4,354276.0,,,1.0,
366333,0,1,17801,1,139500,1,360000.0,,1.0,,
121463,1,0,8738,0,135000,4,576072.0,,,1.0,
144235,0,1,20006,1,157500,4,360000.0,,1.0,,
409815,0,1,13998,1,90000,2,492862.5,,1.0,,
200771,0,1,11385,0,67500,4,412560.0,,1.0,,
212893,1,1,17004,0,337500,4,770913.0,1.0,,,
326857,1,1,15019,0,202500,4,675000.0,1.0,,,
238740,0,1,17351,1,58500,4,629325.0,,1.0,,
132991,0,0,8018,1,112500,4,180000.0,,,,1.0
242945,1,1,19317,1,103500,4,760131.0,1.0,,,
102304,1,1,24537,1,90000,4,254700.0,1.0,,,
283775,0,1,23185,1,157500,4,481176.0,,1.0,,
424602,1,1,12455,0,121500,3,301500.0,1.0,,,
105986,0,1,24652,0,157500,1,284400.0,,1.0,,
265948,0,1,17984,0,315000,4,1483650.0,,1.0,,
138872,0,1,14997,1,360000,1,410400.0,,1.0,,
120013,1,1,13389,1,157500,4,551079.0,1.0,,,
246330,0,1,16309,0,90000,1,808650.0,,1.0,,
137333,0,1,10115,1,90000,4,508500.0,,1.0,,
453759,0,1,12602,1,180000,1,900000.0,,1.0,,
287680,1,1,14007,1,765000,2,835380.0,1.0,,,
399001,0,1,20896,1,193500,4,824823.0,,1.0,,
356736,0,1,14673,1,270000,1,715500.0,,1.0,,
328306,0,1,20627,1,180000,4,1332000.0,,1.0,,
366559,0,1,16285,1,157500,4,436032.0,,1.0,,
406212,0,1,19516,1,135000,4,544491.0,,1.0,,
295672,0,1,22573,1,225000,4,870984.0,,1.0,,
106062,0,1,12792,1,162000,4,270000.0,,1.0,,
165116,0,1,23588,1,63000,4,271957.5,,1.0,,
168081,0,1,18728,1,67500,4,318528.0,,1.0,,
188388,0,1,22783,0,202500,1,500490.0,,1.0,,
260324,0,1,19789,1,202500,4,594121.5,,1.0,,
227943,1,1,11689,0,90000,4,180000.0,1.0,,,
279196,0,1,21845,0,135000,4,755190.0,,1.0,,
129089,1,1,10349,0,202500,1,328365.0,1.0,,,
355324,0,1,20123,1,67500,4,175896.0,,1.0,,
346628,0,1,17365,1,67500,4,270000.0,,1.0,,
372487,1,1,19910,1,112500,4,337500.0,1.0,,,
365316,0,1,19679,1,135000,4,161730.0,,1.0,,
406119,0,1,22417,1,283500,4,900000.0,,1.0,,
117572,1,1,13321,0,157500,4,1078200.0,1.0,,,
290172,1,1,11069,0,450000,1,900000.0,1.0,,,
393486,1,1,16105,0,202500,4,1762110.0,1.0,,,
183608,0,1,17431,0,180000,4,1006920.0,,1.0,,
231135,0,1,15651,1,157500,1,1113840.0,,1.0,,
155647,0,1,12587,0,135000,4,405000.0,,1.0,,
446473,0,1,15428,1,112500,4,900000.0,,1.0,,
441556,0,1,18924,1,157500,4,1221354.0,,1.0,,
225871,1,1,12988,1,135000,4,254700.0,1.0,,,
154407,0,1,15546,1,117000,4,152820.0,,1.0,,
435337,0,1,14936,1,162000,4,225000.0,,1.0,,
148354,0,1,12259,1,67500,4,722430.0,,1.0,,
134027,0,1,14313,0,157500,4,855000.0,,1.0,,
163809,1,1,19751,1,225000,4,1546020.0,1.0,,,
310322,0,1,11163,1,135000,1,180000.0,,1.0,,
187140,0,1,10921,0,135000,4,314100.0,,1.0,,
195378,1,1,19923,1,337500,4,450000.0,1.0,,,
428347,1,1,12435,0,337500,4,450000.0,1.0,,,
359181,0,1,19967,1,157500,4,1288350.0,,1.0,,
340366,0,1,11756,0,90000,4,787131.0,,1.0,,
176818,1,1,22091,0,450000,1,490495.5,1.0,,,
419628,0,1,14882,1,225000,4,904500.0,,1.0,,
203724,0,1,10208,1,72000,4,90000.0,,1.0,,
240319,0,1,11918,1,207000,1,679500.0,,1.0,,
283308,0,1,16874,0,112500,4,225000.0,,1.0,,
432902,0,1,22161,1,67500,3,119925.0,,1.0,,
455039,1,1,13222,0,180000,1,803259.0,1.0,,,
336549,1,1,23928,1,67500,4,152820.0,1.0,,,
302495,0,1,20415,1,247500,4,521280.0,,1.0,,
430855,1,1,15715,1,135000,4,1215000.0,1.0,,,
238934,1,1,14526,1,202500,4,1125000.0,1.0,,,
307601,0,1,17001,0,225000,1,1327500.0,,1.0,,
377369,1,1,14412,1,135000,4,445500.0,1.0,,,
285356,0,1,16054,1,135000,4,521280.0,,1.0,,
223273,1,1,15384,1,360000,1,339633.0,1.0,,,
281155,1,1,12102,1,180000,4,450000.0,1.0,,,
203094,1,0,8632,0,180000,4,436032.0,,,1.0,
401693,0,1,21135,1,157500,4,339241.5,,1.0,,
188355,1,1,10607,1,180000,4,348264.0,1.0,,,
172531,0,1,12066,0,292500,1,1666746.0,,1.0,,
270880,0,1,14730,0,90000,4,289597.5,,1.0,,
407003,0,1,16111,1,67500,4,781920.0,,1.0,,
317262,0,1,11888,0,135000,4,247500.0,,1.0,,
249922,0,1,11195,0,157500,1,76410.0,,1.0,,
326159,1,1,11558,1,90000,4,237024.0,1.0,,,
290879,1,1,9349,0,112500,4,180000.0,1.0,,,
267124,0,1,16877,1,90000,4,571486.5,,1.0,,
388167,0,1,15171,1,112500,4,463500.0,,1.0,,
382257,0,1,15992,1,180000,1,1777212.0,,1.0,,
212501,1,1,21533,1,238500,4,1190340.0,1.0,,,
118872,0,1,15761,1,157500,1,152820.0,,1.0,,
239892,0,1,19988,1,135000,4,526491.0,,1.0,,
449791,1,1,14014,1,90000,1,202500.0,1.0,,,
200445,1,1,19890,1,139500,4,846387.0,1.0,,,
350791,0,1,13864,0,157500,4,1575000.0,,1.0,,
251877,1,1,9428,1,135000,4,332946.0,1.0,,,
129657,0,1,20019,0,135000,4,1223010.0,,1.0,,
264592,0,1,23068,0,67500,4,544491.0,,1.0,,
446923,0,1,23188,1,90000,1,270000.0,,1.0,,
334194,0,1,11652,0,427500,1,1971072.0,,1.0,,
412806,0,1,12396,0,121500,1,1067940.0,,1.0,,
305073,1,1,19244,0,225000,4,1258650.0,1.0,,,
379524,0,1,9615,0,202500,4,1078200.0,,1.0,,
244774,0,1,21756,0,112500,4,654498.0,,1.0,,
236035,0,0,8599,1,112500,2,335592.0,,,,1.0
333176,0,1,23238,1,90000,4,187929.0,,1.0,,
272601,0,1,18759,1,67500,4,343800.0,,1.0,,
323936,0,1,21727,1,135000,4,319500.0,,1.0,,
166105,1,1,17366,1,60750,4,50940.0,1.0,,,
365865,1,1,16267,1,112500,4,381528.0,1.0,,,
322530,0,1,19150,0,450000,4,2695500.0,,1.0,,
341546,0,1,12261,1,112500,4,450000.0,,1.0,,
399532,0,1,11584,0,184500,4,1138500.0,,1.0,,
168901,1,1,22936,1,135000,4,916470.0,1.0,,,
409191,0,1,23395,1,63000,4,284400.0,,1.0,,
196776,0,1,10253,1,76500,4,343377.0,,1.0,,
281334,0,1,12784,1,112500,4,269550.0,,1.0,,
135329,0,1,23748,0,144000,4,1125000.0,,1.0,,
144540,1,1,19252,0,90000,4,208854.0,1.0,,,
411038,0,1,14336,1,90000,4,225000.0,,1.0,,
135741,1,1,13671,0,202500,4,696150.0,1.0,,,
437899,0,1,15337,1,202500,4,292500.0,,1.0,,
425892,0,1,11015,0,225000,1,900000.0,,1.0,,
224636,0,1,13577,1,202500,4,1515415.5,,1.0,,
350676,0,1,11595,1,126000,4,382500.0,,1.0,,
446191,1,1,12736,0,81000,4,684706.5,1.0,,,
329817,1,1,14320,0,270000,4,2250000.0,1.0,,,
320727,0,1,18453,1,157500,1,269550.0,,1.0,,
360716,0,1,14805,1,76500,4,751500.0,,1.0,,
184209,0,0,8373,1,67500,4,180000.0,,,,1.0
332498,1,1,18025,0,112500,1,225000.0,1.0,,,
332060,0,1,9693,1,180000,2,545040.0,,1.0,,
277153,1,1,18921,1,225000,4,835380.0,1.0,,,
288454,0,1,20392,1,211500,4,1288350.0,,1.0,,
436823,1,1,16498,1,225000,4,549882.0,1.0,,,
279796,0,1,13749,1,153000,4,263686.5,,1.0,,
404989,0,0,8413,1,94500,4,180000.0,,,,1.0
294611,0,1,14521,0,112500,4,132444.0,,1.0,,
340313,1,1,20105,1,180000,4,1051294.5,1.0,,,
103568,0,1,21531,1,90000,4,407965.5,,1.0,,
249901,1,1,16294,1,135000,4,729792.0,1.0,,,
149710,0,1,10293,1,117450,4,473760.0,,1.0,,
346276,0,1,23599,0,180000,4,585000.0,,1.0,,
442210,1,1,10453,1,112500,1,270000.0,1.0,,,
338731,1,1,10166,0,126000,4,247275.0,1.0,,,
217670,0,1,13434,1,292500,4,1125000.0,,1.0,,
445935,1,1,21163,0,90000,4,254700.0,1.0,,,
128235,0,1,21373,1,180000,1,1125000.0,,1.0,,
138758,1,0,8948,0,157500,4,553806.0,,,1.0,
342763,1,1,15823,1,180000,4,497520.0,1.0,,,
125751,0,1,21186,1,301500,4,469152.0,,1.0,,
308526,0,1,19504,0,90000,4,808650.0,,1.0,,
421132,0,1,13945,0,90000,4,535500.0,,1.0,,
197267,0,1,16572,0,270000,1,845023.5,,1.0,,
210841,0,1,22546,1,67500,4,298512.0,,1.0,,
232619,0,1,18003,1,175500,4,1208304.0,,1.0,,
435529,1,1,12548,1,135000,4,417024.0,1.0,,,
217241,0,1,17253,1,45000,4,135000.0,,1.0,,
377067,0,1,17829,1,157500,4,1236816.0,,1.0,,
374423,0,1,22379,1,99000,4,189000.0,,1.0,,
215405,0,1,21005,1,180000,1,1260000.0,,1.0,,
331994,0,1,11008,0,78750,4,255960.0,,1.0,,
451322,0,1,16911,1,180000,4,835380.0,,1.0,,
193387,0,1,11430,1,189000,1,298512.0,,1.0,,
383371,0,1,19050,1,121500,4,254700.0,,1.0,,
253547,1,1,12946,1,337500,1,660289.5,1.0,,,
429326,0,1,20213,1,121500,3,988191.0,,1.0,,
276322,1,1,21377,1,157500,4,1345500.0,1.0,,,
359750,0,1,24550,0,90000,2,254700.0,,1.0,,
233471,0,1,11424,1,180000,1,2013840.0,,1.0,,
448153,0,1,13288,0,225000,4,675000.0,,1.0,,
350180,1,1,12309,1,157500,4,1575000.0,1.0,,,
183510,1,1,10071,0,272250,1,1288350.0,1.0,,,
426398,0,1,17907,1,162000,1,1971072.0,,1.0,,
371468,0,1,21481,1,225000,4,387000.0,,1.0,,
358780,0,0,8077,1,112500,4,180000.0,,,,1.0
106209,1,1,17577,1,157500,4,508495.5,1.0,,,
223418,0,1,20169,1,225000,4,202500.0,,1.0,,
373649,0,1,23545,0,292500,4,649462.5,,1.0,,
263379,0,1,17068,1,85500,4,225000.0,,1.0,,
157549,1,0,8735,1,256500,1,1546020.0,,,1.0,
312100,1,1,14110,1,180000,4,284400.0,1.0,,,
432437,0,1,23067,1,135000,4,953460.0,,1.0,,
174722,0,1,19943,1,180000,1,1223010.0,,1.0,,
164839,1,1,9617,1,152874,1,670500.0,1.0,,,
